timestamp,run_id,label,scenario,sensor,event_type,proto,app_proto,src_ip,src_port,dest_ip,dest_port,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,flow_state,modbus_function,modbus_access,modbus_address,modbus_quantity,modbus_value,engine_rpm,ballast_level,ballast_setpoint,rpm_command,heading_cmd,heading,rudder_angle,gen_load,bus_freq,load_cmd,alert_signature,alert_sid,src_port_role,write_band,read_band,source_dataset,register_space,macyste_decoded,governor_left,governor_right,rudder_command,hydraulic_pump_rpm_left,fuel_flow_left,pressure_valve_flow_left,hydraulic_pressure_left,oil_temperature_left,hydraulic_pump_rpm_right,fuel_flow_right,pressure_valve_flow_right,hydraulic_pressure_right,oil_temperature_right,oil_level_left,oil_level_right,expansion_oil_level_common,expansion_oil_level_left,expansion_oil_level_right,rudder_angle_actual,throttle_command_left,throttle_command_right,eve_timestamp,flow_start,flow_end,flow_duration,phase,flow_spans_phase_boundary
2026-07-26T11:44:49.943519+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57510,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,2,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:49.943519+0000,,,,recon_burst,0
2026-07-26T11:44:51.010818+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57630,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,18,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:51.010818+0000,,,,recon_burst,0
2026-07-26T11:44:48.643776+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57366,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,30,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:48.643776+0000,,,,recon_burst,0
2026-07-26T11:44:49.698677+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57486,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:49.698677+0000,,,,recon_burst,0
2026-07-26T11:44:49.209285+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57444,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:49.209285+0000,,,,recon_burst,0
2026-07-26T11:44:51.258659+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57674,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:51.258659+0000,,,,recon_burst,0
2026-07-26T11:44:48.806759+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57392,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:48.806759+0000,,,,recon_burst,0
2026-07-26T11:44:51.175450+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57660,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:51.175450+0000,,,,recon_burst,0
2026-07-26T11:44:49.047891+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57426,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,29,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:49.047891+0000,,,,recon_burst,0
2026-07-26T11:44:49.129032+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57442,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,4,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:49.129032+0000,,,,recon_burst,0
2026-07-26T11:44:48.807143+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57392,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,11,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:48.807143+0000,,,,recon_burst,0
2026-07-26T11:44:50.357763+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57562,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,1,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:50.357763+0000,,,,recon_burst,0
2026-07-26T11:44:50.107503+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57530,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:50.107503+0000,,,,recon_burst,0
2026-07-26T11:44:49.209719+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57444,172.30.70.3,502,0,0,0,0,,4,READ | INPUT,10,1,,,,,,,,,,,,,,ephemeral,na,scan,macyste,input,0,,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:49.209719+0000,,,,recon_burst,0
2026-07-26T11:44:51.587495+0000,macyste-20260726T113328Z-recon-r02,attack,macyste_recon,macyste-steering,modbus,TCP,,172.30.70.250,57726,172.30.70.3,502,0,0,0,0,,3,READ | HOLDING,0,2,,,,,,,,,,,,,,ephemeral,na,in_scope,macyste,holding,1,0.0,,,,,,,,,,,,,,,,,,,,,2026-07-26T11:44:51.587495+0000,,,,recon_burst,0
